"","","","","","","","","","","","","","","","","","",""
"山东省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-11-13~2018-11-13","","","","","","","","","","","","","打印时间：","","2018-11-14 06:13:32",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"20","0288","四季来财","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0300","中国红","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0321","招财进宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0327","富贵8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0329","夺宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0343","大红包","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0348","皇家金典","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0363","富贵竹","0","90","2","2,701,200","0","0","0","0","0","0","9","5,400","0","89","43","2,695,800"
"20","0374","超值8","0","477","23","7,168,800","0","0","0","0","0","0","24","14,400","0","476","24","7,154,400"
"20","0387","卧虎藏龙","0","166","22","4,993,200","0","0","0","0","0","0","8","4,800","0","166","14","4,988,400"
"20","0407","发发发","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0408","7","0","125","9","3,755,400","0","0","0","0","0","1","107","94,200","0","122","2","3,661,200"
"20","0409","日进斗金","0","1,187","15","35,619,000","0","0","0","0","0","0","16","9,600","0","1,186","49","35,609,400"
"20","0416","点石成金","0","84","31","2,538,600","0","0","0","0","0","0","72","43,200","0","83","9","2,495,400"
"20","0426","花开富贵","0","1,205","42","36,175,200","0","0","0","0","0","0","12","7,200","0","1,205","30","36,168,000"
"20","0429","天时地利人和","0","565","39","16,973,400","0","0","0","0","0","0","16","9,600","0","565","23","16,963,800"
"20","0444","西游记","0","0","3","1,800","0","0","0","0","0","0","0","0","0","0","3","1,800"
"20","0445","20倍现金","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0464","体彩顶呱刮十周年庆","0","95","104","2,912,400","0","0","0","0","0","0","11","6,600","0","95","93","2,905,800"
"20","0481","节气歌","0","292","87","8,812,200","0","0","0","0","0","14","1,498","1,318,800","0","247","139","7,493,400"
"20","0482","锦绣","0","309","0","9,270,000","0","0","0","0","0","0","30","18,000","0","308","20","9,252,000"
