"销售网点分玩法销售统计","","","","","","","","","","","","",""
"JX201","","","","","","","","","","","","",""
"日期范围：","2018-11-13~2018-11-13","","","","","","","","打印时间：","","","2018-11-14 06:12:33",""
"","","","","","","","","","","","","",""
"市编码","市名称","县编码","县名称","网点编码","网点名称","游戏编码","游戏名称","激活包数","激活金额","确认包数","确认金额","兑奖张数","兑奖金额"
"3701","济南市","370102","历下区","3701001776","3701001776","0399","中国结","0","0","0","0","1","5"
"3701","济南市","370102","历下区","3701001776","3701001776","0404","有礼了","0","0","0","0","2","70"
"3701","济南市","370102","历下区","3701001776","3701001776","0416","点石成金","0","0","0","0","5","160"
"3701","济南市","370102","历下区","3701001776","3701001776","0418","招财猫","0","0","0","0","2","20"
"3701","济南市","370102","历下区","3701001776","3701001776","0423","太空寻宝","0","0","0","0","67","321"
"3701","济南市","370102","历下区","3701001776","3701001776","0428","中奖达人","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001776","3701001776","0429","天时地利人和","0","0","0","0","4","80"
"3701","济南市","370102","历下区","3701001776","3701001776","0431","粉橙蓝","0","0","0","0","10","100"
"3701","济南市","370102","历下区","3701001776","3701001776","0434","八喜","0","0","0","0","16","57"
"3701","济南市","370102","历下区","3701001776","3701001776","0438","财运旺好运旺","0","0","0","0","5","75"
"3701","济南市","370102","历下区","3701001776","3701001776","0451","麻辣6","0","0","0","0","16","125"
"3701","济南市","370102","历下区","3701001776","3701001776","0456","红樱桃","0","0","0","0","8","37"
"3701","济南市","370102","历下区","3701001776","3701001776","0460","新时代 动起来","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001776","3701001776","0463","体彩顶呱刮十周年庆","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001776","3701001776","0465","十倍幸运","0","0","0","0","9","150"
"3701","济南市","370102","历下区","3701001776","3701001776","0467","加油","0","0","0","0","10","28"
"3701","济南市","370102","历下区","3701001776","3701001776","0468","巅峰对决","0","0","0","0","1","5"
"3701","济南市","370102","历下区","3701001776","3701001776","0471","全民健身日","0","0","0","0","4","180"
"3701","济南市","370102","历下区","3701001776","3701001776","0473","数字密码","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001776","3701001776","0481","节气歌","0","0","0","0","31","790"
"3701","济南市","370102","历下区","3701001804","3701001804","0134","宝石之王","2","1,200","0","0","0","0"
"3701","济南市","370102","历下区","3701001804","3701001804","0423","太空寻宝","2","1,200","0","0","0","0"
"3701","济南市","370102","历下区","3701001804","3701001804","0444","西游记","0","0","0","0","2","40"
"3701","济南市","370102","历下区","3701001804","3701001804","0481","节气歌","5","3,000","0","0","0","0"
"3701","济南市","370102","历下区","3701001804","3701001804","0482","锦绣","1","600","0","0","0","0"
"3701","济南市","370102","历下区","3701001817","3701001817","0418","招财猫","1","600","1","600","0","0"
"3701","济南市","370102","历下区","3701001817","3701001817","0481","节气歌","3","1,800","3","1,800","8","250"
"3701","济南市","370102","历下区","3701001879","3701001879","0409","日进斗金","0","0","0","0","2","40"
"3701","济南市","370102","历下区","3701001879","3701001879","0426","花开富贵","0","0","0","0","2","320"
"3701","济南市","370102","历下区","3701001879","3701001879","0449","十二星座","0","0","0","0","4","40"
"3701","济南市","370102","历下区","3701001879","3701001879","0460","新时代 动起来","0","0","0","0","12","125"
"3701","济南市","370102","历下区","3701001879","3701001879","0473","数字密码","0","0","0","0","6","70"
"3701","济南市","370102","历下区","3701001879","3701001879","0478","爱跑","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001879","3701001879","0481","节气歌","0","0","0","0","4","80"
"3701","济南市","370102","历下区","3701001909","3701001909","0418","招财猫","0","0","0","0","2","30"
"3701","济南市","370102","历下区","3701001919","3701001919","0433","富贵有余","0","0","0","0","1","1,000"
"3701","济南市","370102","历下区","3701001924","3701001924","0314","LOVE","2","600","0","0","0","0"
"3701","济南市","370102","历下区","3701001924","3701001924","0380","中国红","1","600","0","0","0","0"
"3701","济南市","370102","历下区","3701001924","3701001924","0403","10来运转","1","600","0","0","0","0"
"3701","济南市","370102","历下区","3701001924","3701001924","0404","有礼了","1","600","0","0","0","0"
"3701","济南市","370102","历下区","3701001924","3701001924","0418","招财猫","1","600","0","0","0","0"
"3701","济南市","370102","历下区","3701001924","3701001924","0423","太空寻宝","1","600","0","0","0","0"
"3701","济南市","370102","历下区","3701001924","3701001924","0428","中奖达人","1","600","0","0","0","0"
"3701","济南市","370102","历下区","3701001924","3701001924","0443","挖金矿","1","600","0","0","0","0"
"3701","济南市","370102","历下区","3701001924","3701001924","0454","旺旺","1","600","0","0","0","0"
"3701","济南市","370102","历下区","3701001924","3701001924","0481","节气歌","1","600","0","0","0","0"
"3701","济南市","370102","历下区","3701001942","3701001942","0337","幸福时光","0","0","0","0","7","50"
"3701","济南市","370102","历下区","3701001942","3701001942","0348","皇家金典","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001942","3701001942","0423","太空寻宝","0","0","0","0","13","26"
"3701","济南市","370102","历下区","3701001966","3701001966","0386","卧虎藏龙","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001966","3701001966","0408","7","0","0","0","0","1","30"
"3701","济南市","370102","历下区","3701001966","3701001966","0418","招财猫","0","0","0","0","2","20"
"3701","济南市","370102","历下区","3701001966","3701001966","0423","太空寻宝","0","0","0","0","4","8"
"3701","济南市","370102","历下区","3701001966","3701001966","0431","粉橙蓝","0","0","0","0","21","180"
"3701","济南市","370102","历下区","3701001966","3701001966","0432","强力5","0","0","0","0","4","45"
"3701","济南市","370102","历下区","3701001966","3701001966","0446","天降财神","0","0","0","0","2","60"
"3701","济南市","370102","历下区","3701001966","3701001966","0451","麻辣6","0","0","0","0","2","10"
"3701","济南市","370102","历下区","3701001966","3701001966","0463","体彩顶呱刮十周年庆","0","0","0","0","2","30"
