"","","","","","","","","","","","","","","","","","",""
"浙江省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-11-13~2018-11-13","","","","","","","","","","","","","打印时间：","","2018-11-14 06:20:17",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"10","0386","卧虎藏龙","0","65","24","1,964,400","0","0","0","0","0","0","8","4,800","0","65","16","1,959,600"
"10","0391","10来运转","0","43","9","1,295,400","0","0","0","0","0","0","21","12,600","0","42","38","1,282,800"
"10","0401","芝麻开门","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0406","金鸡纳福","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0418","招财猫","0","128","43","3,865,800","0","0","0","0","0","0","34","20,400","0","127","59","3,845,400"
"10","0432","强力5","0","240","25","7,215,000","0","0","0","0","0","0","5","3,000","0","240","20","7,212,000"
"10","0442","天下名钻","0","180","29","5,417,400","0","0","0","0","0","0","12","7,200","0","180","17","5,410,200"
"10","0454","旺旺","0","116","24","3,494,400","0","0","0","0","0","0","16","9,600","0","116","8","3,484,800"
"10","0457","十二生肖","0","61","53","930,900","0","0","0","0","0","0","59","17,700","0","60","44","913,200"
"10","0460","新时代 动起来","0","132","55","3,976,500","0","0","0","0","0","0","8","2,400","0","132","47","3,974,100"
"10","0463","体彩顶呱刮十周年庆","0","176","13","5,287,800","0","0","0","0","0","0","20","12,000","0","175","43","5,275,800"
"10","0465","十倍幸运","0","295","29","8,867,400","0","0","0","0","0","0","172","103,200","0","291","57","8,764,200"
"10","0466","通吃","0","43","47","1,318,200","0","0","0","0","0","0","43","25,800","0","42","54","1,292,400"
"10","0471","全民健身日","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
