"","","","","","","","","","","","","","","","","","",""
"山东省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-04-21~2018-04-21","","","","","","","","","","","","","打印时间：","","2018-04-21 12:58:29",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"20","0215","黑旋风","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0237","大乐透","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0242","甜蜜蜜","0","23","0","690,000","0","0","0","0","0","0","0","0","0","23","0","690,000"
"20","0247","NBA","0","594","33","17,839,800","0","0","0","0","0","0","0","0","0","594","33","17,839,800"
"20","0270","真金白银","0","25","12","757,200","0","0","0","0","0","0","0","0","0","24","62","757,200"
"20","0283","欢乐扑克","0","0","5","3,000","0","0","0","0","0","0","0","0","0","0","5","3,000"
"20","0288","四季来财","0","38","0","1,140,000","0","0","0","0","0","0","0","0","0","38","0","1,140,000"
"20","0300","中国红","0","0","6","3,600","0","0","0","0","0","0","0","0","0","0","6","3,600"
"20","0321","招财进宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0327","富贵8","0","0","9","5,400","0","0","0","0","0","0","0","0","0","0","9","5,400"
"20","0329","夺宝","0","0","30","18,000","0","0","0","0","0","0","0","0","0","0","30","18,000"
"20","0343","大红包","0","0","39","23,400","0","0","0","0","0","0","0","0","0","0","39","23,400"
"20","0348","皇家金典","0","2","13","67,800","0","0","0","0","0","0","0","0","0","2","13","67,800"
"20","0363","富贵竹","0","247","50","7,440,000","0","0","0","0","0","0","0","0","0","247","50","7,440,000"
"20","0374","超值8","0","896","28","13,456,800","0","0","0","0","0","0","0","0","0","896","28","13,456,800"
"20","0387","卧虎藏龙","0","283","22","8,503,200","0","0","0","0","0","0","0","0","0","283","22","8,503,200"
"20","0407","发发发","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0408","7","0","168","36","5,061,600","0","0","0","0","0","0","0","0","0","166","136","5,061,600"
"20","0409","日进斗金","0","1,303","41","39,114,600","0","0","0","0","0","0","0","0","0","1,303","41","39,114,600"
"20","0416","点石成金","0","159","35","4,791,000","0","0","0","0","0","0","0","0","0","158","85","4,791,000"
"20","0445","20倍现金","0","25","69","791,400","0","0","0","0","0","0","0","0","0","25","69","791,400"
"20","0464","体彩顶呱刮十周年庆","0","361","52","10,861,200","0","0","0","0","0","0","0","0","0","360","102","10,861,200"
"面值合计","","","0","4,124","506","110,583,600","0","0","0","0","0","0","0","0","0","4,119","756","110,583,600"
"30","0134","宝石之王","0","42","97","2,578,200","0","0","0","0","0","0","0","0","0","42","97","2,578,200"
"30","0175","好彩头","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0287","好彩头","0","67","15","4,029,000","0","0","0","0","0","0","0","0","0","66","115","4,029,000"
"30","0319","黄金世界","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0338","至尊宝","0","0","15","9,000","0","0","0","0","0","0","0","0","0","0","15","9,000"
"30","0354","大吉大利","0","0","14","8,400","0","0","0","0","0","0","0","0","0","0","14","8,400"
"30","0433","富贵有余","0","126","84","7,610,400","0","0","0","0","0","0","0","0","0","125","184","7,610,400"
"30","0446","天降财神","0","171","42","10,285,200","0","0","0","0","0","0","0","0","0","170","142","10,285,200"
"面值合计","","","0","406","267","24,520,200","0","0","0","0","0","0","0","0","0","403","567","24,520,200"
"总计","","","0","16,425","3,625","478,852,100","0","0","0","0","0","0","0","0","0","16,400","5,215","478,852,100"
